2026-04-14 11:46:56,381 | INFO | app.services.service | Chemin modèle fréquence : app/data/models/model_frequence.pkl
2026-04-14 11:46:56,381 | INFO | app.services.service | Chemin modèle sévérité : app/data/models/model_severite.pkl
2026-04-14 11:46:57,230 | INFO | app.services.service | Bundles chargés avec succès
2026-04-14 11:46:57,231 | INFO | app.services.service | Chargement des bundles modèles
2026-04-14 11:46:57,231 | INFO | app.services.service | Chemin modèle fréquence : app/data/models/model_frequence.pkl
2026-04-14 11:46:57,231 | INFO | app.services.service | Chemin modèle sévérité : app/data/models/model_severite.pkl
2026-04-14 11:46:57,233 | INFO | app.services.service | Bundles chargés avec succès
2026-04-14 11:47:20,278 | INFO | app.services.service | Prédiction de fréquence lancée
2026-04-14 11:47:20,319 | INFO | app.services.service | Feature engineering terminé
2026-04-14 11:47:22,876 | INFO | app.services.service | Prédiction fréquence réussie : 0.060033
2026-04-14 11:47:22,877 | INFO | app.services.service | Prédiction de sévérité lancée
2026-04-14 11:47:22,896 | INFO | app.services.service | Feature engineering terminé
2026-04-14 11:47:22,924 | INFO | app.services.service | Prédiction sévérité réussie : 1431.68
2026-04-14 11:51:36,134 | INFO | app.services.service | Chargement des bundles modèles
2026-04-14 11:51:36,134 | INFO | app.services.service | Chemin modèle fréquence : app/data/models/model_frequence.pkl
2026-04-14 11:51:36,135 | INFO | app.services.service | Chemin modèle sévérité : app/data/models/model_severite.pkl
2026-04-14 11:51:37,708 | INFO | app.services.service | Bundles chargés avec succès
2026-04-14 11:51:37,709 | INFO | app.services.service | Chargement des bundles modèles
2026-04-14 11:51:37,710 | INFO | app.services.service | Chemin modèle fréquence : app/data/models/model_frequence.pkl
2026-04-14 11:51:37,710 | INFO | app.services.service | Chemin modèle sévérité : app/data/models/model_severite.pkl
2026-04-14 11:51:37,713 | INFO | app.services.service | Bundles chargés avec succès
